Date,000001.SH,399001.SZ,HSI.HI,SPX.GI
2014-07-01,0.00100277,-0.006234276,0,0.006677788
2014-07-02,0.004407474,0.001765263,0.015476018,0.000658788
2014-07-03,0.001850523,0.003441546,-0.000771987,0.005479535
2014-07-04,-0.001867946,-0.000221661,0.000634045,0
2014-07-07,0.000268042,-0.001690094,-0.000231034,-0.003923564
2014-07-08,0.001987449,0.005028331,1.95E-05,-0.00704877
2014-07-09,-0.012310437,-0.022508368,-0.015517782,0.00464427
2014-07-10,-0.000132443,-0.004598826,0.002714869,-0.004131121
2014-07-11,0.004228437,0.006612774,-0.000238392,0.001470977
2014-07-14,0.009616695,0.009974368,0.004873146,0.004843538
2014-07-15,0.001795663,0.003510303,0.004852512,-0.001932123
2014-07-16,-0.001488149,-0.005817856,0.002699067,0.004201127
2014-07-17,-0.005652366,-0.009249491,-0.000102452,-0.011834051
2014-07-18,0.001690998,0.008993232,-0.00280942,0.010264948
2014-07-21,-0.002228194,0.002074125,-0.002884272,-0.002320268
2014-07-22,0.010222543,0.01349219,0.016888341,0.005016138
2014-07-23,0.001449303,0.000359708,0.007979107,0.001754448
2014-07-24,0.012784768,0.017368093,0.007076211,0.000488171
2014-07-25,0.010238178,0.009957751,0.003086387,-0.004849143
2014-07-28,0.024138842,0.030422065,0.008780142,0.00028812
2014-07-29,0.002407771,0.007476571,0.008674248,-0.004527745
2014-07-30,-0.00089273,-0.001756187,0.003720699,6.09E-05
2014-07-31,0.009315331,0.013202345,0.000996272,-0.019999289
2014-08-01,-0.007385211,-0.009542904,-0.009064966,-0.002859111
2014-08-04,0.017401706,0.015979495,0.002757574,0.00718905
2014-08-05,-0.00152294,0.000106533,0.00195853,-0.009685455
2014-08-06,-0.001117145,-0.001531389,-0.002601806,1.56E-05
2014-08-07,-0.013436965,-0.015326873,-0.007995809,-0.005556597
2014-08-08,0.003088219,0.00157171,-0.002302403,0.011531392
2014-08-11,0.013775363,0.015777152,0.0129302,0.002759385
2014-08-12,-0.001375045,-0.00534949,0.001760528,-0.001636619
2014-08-13,0.000577063,0.001707442,0.008138307,0.006707175
2014-08-14,-0.007382775,-0.010850462,-0.003574881,0.004345771
2014-08-15,0.00918573,0.011170147,0.006192402,-6.14E-05
2014-08-18,0.005717791,0.007991281,2.08E-05,0.008531707
2014-08-19,0.002618481,-0.000324018,0.006711557,0.005000659
2014-08-20,-0.002279843,-0.002509183,0.001465194,0.002477796
2014-08-21,-0.004353608,-0.001540806,-0.006584324,0.002949897
2014-08-22,0.004642096,0.006078113,0.004726315,-0.001992602
2014-08-25,-0.005149026,-0.015459463,0.002177425,0.004787769
2014-08-26,-0.009944045,-0.015227719,-0.003671885,0.001051093
2014-08-27,0.00106882,0.00346776,-0.00621149,5.00E-05
2014-08-28,-0.006176608,-0.01243924,-0.007133183,-0.001689899
2014-08-29,0.009737601,0.012676894,4.28E-05,0.003320412
2014-09-01,0.008258614,0.012683728,0.000405383,0
2014-09-02,0.013659069,0.012863229,-0.00012403,-0.000544083
2014-09-03,0.009964935,0.009020538,0.022987981,-0.000779112
2014-09-04,0.007967659,0.007479053,-0.000791138,-0.001534448
2014-09-05,0.008483386,0.004642536,-0.002283587,0.005035917
2014-09-09,4.08E-05,-0.001584754,-0.001969085,-0.009598
2014-09-10,-0.003534023,-0.00523233,-0.019256901,0.003646074
2014-09-11,-0.002858123,-0.004985295,-0.001729179,0.0008819
2014-09-12,0.008768951,0.003581212,-0.002729635,-0.005962602
2014-09-15,0.003083257,-0.004215788,-0.009690055,-0.000710134
2014-09-16,-0.018205409,-0.023614361,-0.00907255,0.007484389
2014-09-17,0.00493696,0.007669289,0.009960221,0.001295661
2014-09-18,0.003481531,0.002850101,-0.008520123,0.00489116
2014-09-19,0.005839128,0.005332203,0.005686689,-0.000477289
2014-09-22,-0.016993274,-0.018811885,-0.014427207,-0.008013331
2014-09-23,0.008669503,0.008867422,-0.004943334,-0.005776492
2014-09-24,0.014658499,0.016864291,0.003546577,0.007832477
2014-09-25,0.000651995,-0.002927326,-0.006415956,-0.016168743
2014-09-26,0.00111509,-0.000449328,-0.003774803,0.008575832
2014-09-29,0.004256474,0.001234008,-0.018970868,-0.002546839
2014-09-30,0.002612279,-0.000309173,-0.012752478,-0.002785924
2014-10-08,0.008005516,0.012784849,0.014405018,-0.001723884
2014-10-09,0.002760205,0.00248752,0.011657832,-0.020661388
2014-10-10,-0.006207073,0.00091821,-0.018950453,-0.011451035
2014-10-13,-0.003592696,-0.005781496,0.002375204,-0.016467922
2014-10-14,-0.002761612,-0.002952695,-0.004122561,0.001578886
2014-10-15,0.006016169,0.007145366,0.003995146,-0.008100336
2014-10-16,-0.007233946,-0.010665489,-0.010333167,0.000144967
2014-10-17,-0.006499048,0.005034839,0.005339082,0.012884107
2014-10-20,0.006639376,0.006462473,0.00204359,0.009142657
2014-10-21,-0.007243517,-0.011857582,0.000794096,0.019574477
2014-10-22,-0.005600821,-0.005392677,0.01366,-0.007299308
2014-10-23,-0.010373716,-0.011662612,-0.003024701,0.012303397
2014-10-24,-5.99E-05,-0.006027357,-0.001327723,0.007053444
2014-10-27,-0.005144031,-0.011589128,-0.006822103,-0.001501593
2014-10-28,0.020709585,0.020309395,0.016295478,0.011939051
2014-10-29,0.015038897,0.012811171,0.012734074,-0.001385356
2014-10-30,0.007604624,-1.58E-05,-0.00494671,0.006230137
2014-10-31,0.01217109,0.01669342,0.01248922,0.011731381
2014-11-03,0.004071601,0.001767285,-0.003420693,-0.000118927
2014-11-04,0.000265429,-0.004048228,-0.002939877,-0.002829801
2014-11-05,-0.004699514,-0.00100161,-0.00629213,0.005700512
2014-11-06,0.002732247,0.001632968,-0.00195437,0.003775506
2014-11-07,-0.003171241,0.002789468,-0.004189129,0.000349545
2014-11-10,0.022952058,0.021293607,0.008257241,0.003120202
2014-11-11,-0.001617029,-0.011572949,0.00267765,0.000696673
2014-11-12,0.01004303,0.011717352,0.005456085,-0.00070109
2014-11-13,-0.003555857,-0.0125092,0.003415464,0.000529866
2014-11-14,-0.00272851,0.002626464,0.002807667,0.000240275
2014-11-17,-0.001942453,-0.005175157,-0.012051954,0.000735359
2014-11-18,-0.00713134,-0.010527772,-0.011258104,0.005133933
2014-11-19,-0.002190227,0.003474492,-0.006624118,-0.001501121
2014-11-20,0.00068299,-0.002394629,-0.001012694,0.001967082
2014-11-21,0.013915912,0.015468028,0.003746525,0.005236877
2014-11-24,0.018533122,0.029476622,0.019457169,0.002864066
2014-11-25,0.013706932,0.013467856,-0.002060424,-0.001150086
2014-11-26,0.014312215,0.008092546,0.011242703,0.002805958
2014-11-27,0.010037457,0.011028227,-0.004466659,0
2014-11-28,0.019900885,0.016003055,-0.000701125,-0.002542418
2014-12-01,-0.000998943,0.010389651,-0.025846849,-0.006829306
2014-12-02,0.031113872,0.02981522,0.012275623,0.006384409
2014-12-03,0.005782428,0.029569393,-0.00954076,0.003764729
2014-12-04,0.04314802,0.040015558,0.017241306,-0.001161821
2014-12-05,0.013171781,0.003733662,0.007136455,0.001665122
2014-12-08,0.028121486,0.048403049,0.001876044,-0.007256537
2014-12-09,-0.054296355,-0.041505828,-0.023363594,-0.000237828
2014-12-10,0.029316917,0.042408484,0.001647376,-0.016350943
2014-12-11,-0.004851351,-0.006318705,-0.009011023,0.004535718
2014-12-12,0.004248493,-0.00158118,-0.002716993,-0.016213587
2014-12-15,0.00518962,0.004006476,-0.009520758,-0.006342611
2014-12-16,0.023056991,0.015649697,-0.015518166,-0.008489016
2014-12-17,0.013073561,0.01107032,-0.003734368,0.020352403
2014-12-18,-0.001143083,-0.011267835,0.010908162,0.024015222
2014-12-19,0.016704709,-0.00356956,0.012456963,0.004570087
2014-12-22,0.006063509,-0.001749676,0.012629003,0.003810398
2014-12-23,-0.030322835,-0.003556483,-0.003198828,0.001746418
2014-12-24,-0.019811305,-0.02632387,0.000670704,-0.000139278
2014-12-25,0.033642699,0.019553711,0,0
2014-12-26,0.02768625,0.02943239,0,0.003309509
2014-12-29,0.003297755,-0.002058757,0.018152119,0.000861751
2014-12-30,-0.000694757,-0.005392566,-0.01144483,-0.004888619
2014-12-31,0.021751745,0.027266821,0.004422772,-0.010310765
2015-01-05,0.03581254,0.045935839,0.004926067,-0.01861188
2015-01-06,0.000276674,0.012792487,-0.009945062,-0.008893486
2015-01-07,0.006715907,-0.004680421,0.00833922,0.011629823
2015-01-08,-0.023858654,-0.012762719,0.006514434,0.017888346
2015-01-09,-0.002442419,-0.012243725,0.003541771,-0.008403891
2015-01-12,-0.017074266,-0.003495173,0.004452769,-0.008093662
2015-01-13,0.001853334,0.006258562,0.007887554,-0.002578565
2015-01-14,-0.003976137,-0.010393535,-0.004268671,-0.005813063
2015-01-15,0.035382538,0.02188172,0.009883215,-0.009247888
2015-01-16,0.012000761,0.004277199,-0.010159374,0.0134242
2015-01-19,-0.077045575,-0.066061396,-0.015144261,0
2015-01-20,0.018194677,0.020940905,0.008958868,0.00154995
2015-01-21,0.04744927,0.03416529,0.01675994,0.004731651
2015-01-22,0.005937217,0.008708005,0.006982833,0.015269768
2015-01-23,0.002518437,-0.003044317,0.01336806,-0.005491603
2015-01-26,0.009373572,0.021919702,0.002392311,0.002568451
2015-01-27,-0.00893301,-0.011559372,-0.004119647,-0.013387844
2015-01-28,-0.014083675,-0.017111684,0.002198145,-0.013495602
2015-01-29,-0.01313867,-0.009262122,-0.010697532,0.009534703
2015-01-30,-0.015921871,-0.008742348,-0.003610365,-0.01299196
2015-02-02,-0.025561907,-0.016820298,-0.00091035,0.012962471
2015-02-03,0.02448838,0.022443761,0.002860557,0.014439469
2015-02-04,-0.009604335,-0.008264647,0.005089844,-0.004156037
2015-02-05,-0.011844205,-0.004585236,0.003473697,0.010291402
2015-02-06,-0.01932836,-0.024804398,-0.003476612,-0.003418149
2015-02-09,0.006247588,0.007139029,-0.006417906,-0.004247204
2015-02-10,0.015013615,0.024703305,0.000289548,0.010675513
2015-02-11,0.00512829,0.011583946,-0.008687179,-2.90E-05
2015-02-12,0.004975767,0.003293647,0.004405919,0.00964453
2015-02-13,0.009583049,0.012414787,0.010662042,0.004074734
2015-02-16,0.005785581,0.013300735,0.001782231,0
2015-02-17,0.00761646,0.010634438,0.002359814,0.001597528
2015-02-25,-0.005563142,-0.015263136,-0.000266291,0.006437053
2015-02-26,0.021529693,0.018291637,0.004995504,-0.001475973
2015-02-27,0.003621195,0.000587535,-0.003163192,-0.002956309
2015-03-02,0.007848828,0.010744718,0.002584267,0.00612497
2015-03-03,-0.021950463,-0.03010716,-0.007419807,-0.004538606
2015-03-04,0.005050793,0.011179031,-0.009610254,-0.004388504
2015-03-05,-0.009469946,-0.007609303,-0.011131648,0.001196075
