,mean1,sigma1,mean2,sigma2,mean3,sigma3,mean4,sigma4
2006/1/5,0.003463,0.016032517,0.000654,0.018525956,0.000330,0.014965841,0.000715,0.012805564
2006/1/6,0.003463,0.015839851,0.000654,0.019426732,0.000330,0.014965841,0.000715,0.012055989
2006/1/9,0.003463,0.015423529,0.000654,0.018627366,0.000330,0.014344121,0.000715,0.011226464
2006/1/10,0.003463,0.014720928,0.000654,0.017873392,0.000330,0.013762618,0.000715,0.010484841
2006/1/11,0.003463,0.013992198,0.000654,0.017172775,0.000330,0.013430405,0.000715,0.009946786
2006/1/12,0.003463,0.014202126,0.000654,0.017174317,0.000330,0.0128773,0.000715,0.009312074
2006/1/13,0.003463,0.01405876,0.000654,0.017060165,0.000330,0.012392317,0.000715,0.009904365
2006/1/16,0.003463,0.013970151,0.000654,0.017180881,0.000330,0.011927607,0.000715,0.009282672
2006/1/17,0.003463,0.014800794,0.000654,0.017796374,0.000330,0.01149537,0.000715,0.008833047
2006/1/18,0.003463,0.014117369,0.000654,0.017641439,0.000330,0.011647772,0.000715,0.009033425
2006/1/19,0.003463,0.014483975,0.000654,0.018738993,0.000330,0.011709991,0.000715,0.009300266
2006/1/20,0.003463,0.014440773,0.000654,0.018435559,0.000330,0.011353935,0.000715,0.008710762
2006/1/23,0.003463,0.013753659,0.000654,0.017689357,0.000330,0.011170205,0.000715,0.011835926
2006/1/24,0.003463,0.013311417,0.000654,0.01680924,0.000330,0.011342713,0.000715,0.011055895
2006/1/25,0.003463,0.013159188,0.000654,0.016772557,0.000330,0.011276265,0.000715,0.010335161
2006/2/6,0.003463,0.012569489,0.000654,0.01670085,0.000330,0.01088156,0.000715,0.010064197
2006/2/7,0.003463,0.013213194,0.000654,0.018128898,0.000330,0.01048715,0.000715,0.009522354
2006/2/8,0.003463,0.01318672,0.000654,0.017312551,0.000330,0.010140917,0.000715,0.010469777
2006/2/9,0.003463,0.012675436,0.000654,0.016912766,0.000330,0.010165394,0.000715,0.00977575
2006/2/10,0.003463,0.013669998,0.000654,0.017799305,0.000330,0.010038771,0.000715,0.00946189
2006/2/13,0.003463,0.013400484,0.000654,0.01802712,0.000330,0.009707182,0.000715,0.00886961
2006/2/14,0.003463,0.013191329,0.000654,0.017544566,0.000330,0.009631381,0.000715,0.008976755
2006/2/15,0.003463,0.012628824,0.000654,0.017172472,0.000330,0.009469355,0.000715,0.008396194
2006/2/16,0.003463,0.012392357,0.000654,0.016671471,0.000330,0.009259136,0.000715,0.007882148
2006/2/17,0.003463,0.013938551,0.000654,0.017724787,0.000330,0.008972622,0.000715,0.00739465
2006/2/20,0.003463,0.013695299,0.000654,0.01709852,0.000330,0.008711185,0.000715,0.007289163
2006/2/21,0.003463,0.013250751,0.000654,0.016419036,0.000330,0.008467818,0.000715,0.006997415
2006/2/22,0.003463,0.013407464,0.000654,0.0164863,0.000330,0.008373732,0.000715,0.007285507
2006/2/23,0.003463,0.013256444,0.000654,0.015653966,0.000330,0.00815775,0.000715,0.006844338
2006/2/24,0.003463,0.012602269,0.000654,0.014986274,0.000330,0.007951855,0.000715,0.007162902
2006/2/27,0.003463,0.012146076,0.000654,0.014771324,0.000330,0.008055094,0.000715,0.006753567
2006/2/28,0.003463,0.011784848,0.000654,0.015094448,0.000330,0.007873646,0.000715,0.006365276
2006/3/1,0.003463,0.011348992,0.000654,0.014435864,0.000330,0.007792473,0.000715,0.008069926
2006/3/2,0.003463,0.010940744,0.000654,0.014137016,0.000330,0.007852574,0.000715,0.007567807
2006/3/3,0.003463,0.012024719,0.000654,0.014253014,0.000330,0.007807274,0.000715,0.00746107
2006/3/6,0.003463,0.011594879,0.000654,0.013652028,0.000330,0.007803346,0.000715,0.007406108
2006/3/7,0.003463,0.01154135,0.000654,0.013485289,0.000330,0.007712843,0.000715,0.008360105
2006/3/8,0.003463,0.013160309,0.000654,0.015133464,0.000330,0.008433617,0.000715,0.00836619
2006/3/9,0.003463,0.013335873,0.000654,0.015156802,0.000330,0.008976053,0.000715,0.007862546
2006/3/10,0.003463,0.013214584,0.000654,0.014798193,0.000330,0.008865221,0.000715,0.008352231
2006/3/13,0.003463,0.012729924,0.000654,0.014584572,0.000330,0.008698775,0.000715,0.007830577
2006/3/14,0.003463,0.01262009,0.000654,0.015043531,0.000330,0.008509663,0.000715,0.007366233
2006/3/15,0.003463,0.012245076,0.000654,0.014525465,0.000330,0.00836977,0.000715,0.00690712
2006/3/16,0.003463,0.012241152,0.000654,0.014575333,0.000330,0.008155817,0.000715,0.006502997
2006/3/17,0.003463,0.011891913,0.000654,0.013984495,0.000330,0.00832333,0.000715,0.006138771
2006/3/20,0.003463,0.011819827,0.000654,0.013512138,0.000330,0.008105271,0.000715,0.005802813
