"da[, 1]","DCoVaR1DL","DCoVaR2DL","DCoVaR3DL","DCoVaR4DL","DCoVaR5DL","DCoVaR6DL","VaR1D","DCoVaR2DR","DCoVaR3DR","DCoVaR4DR","DCoVaR5DR","DCoVaR6DR","DCoVaR1UL","DCoVaR2UL","DCoVaR3UL","DCoVaR4UL","DCoVaR5UL","DCoVaR6UL","DCoVaR1UR","DCoVaR2UR","DCoVaR3UR","DCoVaR4UR","DCoVaR5UR","DCoVaR6UR"
"2006-02-06",-0.027777711,-0.016386645,-0.002081327,-0.014172133,-0.004256639,-0.004439025,-0.03916617,-0.031387913,-0.00259185,-0.020422572,-0.004924425,-0.003528274,0.02777359,0.015438575,0.011483757,0.013330807,0.010898682,0.004439025,0.040496124,0.043025715,0.02221446,0.030651611,0.018344694,-0.000321251000000002
"2006-02-07",-0.030152913,-0.015792699,-0.001969271,-0.013658454,-0.004027467,-0.004200033,-0.041171936,-0.032995342,-0.002724583,-0.022168855,-0.0053455,-0.00340039,0.030148439,0.014878992,0.010865487,0.012847623,0.010311911,0.004200033,0.041480597,0.046613656,0.025409353,0.035395665,0.022834076,4.45370000000007e-05
"2006-02-08",-0.028795123,-0.015271303,-0.002165202,-0.01320752,-0.004428177,-0.004617914,-0.041089444,-0.032929233,-0.002719124,-0.021170588,-0.005104791,-0.003288126,0.028790851,0.014387764,0.011946544,0.012423459,0.01133789,0.004617914,0.042690808,0.04705451,0.023354623,0.033611824,0.018942,-0.002592891
"2006-02-09",-0.02813018,-0.015308164,-0.002021674,-0.013239399,-0.00413464,-0.004311799,-0.039496297,-0.031652479,-0.002613696,-0.020681713,-0.004986911,-0.003296062,0.028126007,0.014422491,0.011154624,0.012453445,0.010586317,0.004311799,0.040696335,0.044673506,0.023154571,0.032423231,0.019443405,-0.001102824
"2006-02-10",-0.029604717,-0.015117481,-0.001956766,-0.013074485,-0.004001893,-0.004173364,-0.042595324,-0.03413605,-0.002818776,-0.021765814,-0.005248316,-0.003255005,0.029600325,0.01424284,0.010796494,0.012298322,0.010246433,0.004173364,0.04439631,0.049433358,0.027002905,0.035176428,0.022183619,-0.000694533000000001
"2006-02-13",-0.02998363,-0.014618138,-0.00183428,-0.012642625,-0.003751389,-0.003912126,-0.041755526,-0.033463033,-0.002763202,-0.022044396,-0.005315489,-0.00314749,0.029979182,0.013772388,0.010120672,0.011892098,0.009605043,0.003912126,0.042620977,0.048737511,0.027368204,0.036369405,0.023951431,-0.000102727
"2006-02-14",-0.029181022,-0.014503988,-0.001856439,-0.012543901,-0.003796706,-0.003959386,-0.041103805,-0.032940741,-0.002720073,-0.021454307,-0.005173203,-0.003122912,0.029176693,0.013664842,0.010242931,0.011799236,0.009721073,0.003959386,0.042331718,0.047902807,0.026473376,0.035105754,0.022592315,-0.000471671999999999
"2006-02-15",-0.028562136,-0.014259992,-0.001736375,-0.012332879,-0.003551158,-0.003703317,-0.039351056,-0.031536082,-0.002604085,-0.020999293,-0.005063488,-0.003070376,0.028557899,0.013434962,0.009580481,0.01160074,0.009092374,0.003703317,0.040025604,0.045590026,0.025872843,0.034299509,0.022923037,0.000422800999999997
"2006-02-16",-0.027728846,-0.013943421,-0.001630068,-0.01205909,-0.003333743,-0.003476586,-0.038614231,-0.030945588,-0.002555325,-0.020386646,-0.004915762,-0.003002214,0.027724732,0.013136707,0.008993928,0.011343204,0.008535705,0.003476586,0.039625001,0.044848473,0.026181686,0.033201064,0.022811914,0.001086043
"2006-02-17",-0.029480775,-0.013511957,-0.001529251,-0.011685934,-0.003127557,-0.003261565,-0.043432128,-0.034806668,-0.002874152,-0.021674689,-0.005226343,-0.002909313,0.029476401,0.012730206,0.008437669,0.010992202,0.008007786,0.003261565,0.045913585,0.052393923,0.032163569,0.036693096,0.026305859,0.001546946
"2006-02-20",-0.028439136,-0.013118256,-0.001507436,-0.011345439,-0.003082941,-0.003215038,-0.042674162,-0.034199231,-0.002823994,-0.020908861,-0.005041682,-0.002824544,0.028434916,0.012359283,0.008317303,0.010671919,0.007893552,0.003215038,0.045684549,0.051704448,0.031601231,0.035317824,0.025050367,0.001262026
"2006-02-21",-0.027308983,-0.012751768,-0.0014471,-0.011028478,-0.002959547,-0.003086356,-0.041288963,-0.033089128,-0.002732327,-0.020077957,-0.004841329,-0.002745635,0.027304931,0.012013999,0.007984403,0.010373775,0.007577613,0.003086356,0.044498289,0.050063866,0.030779297,0.03376029,0.024056785,0.001399186
"2006-02-22",-0.02742086,-0.012610082,-0.00150668,-0.01090594,-0.003081395,-0.003213425,-0.041777276,-0.033480463,-0.002764641,-0.02016021,-0.004861162,-0.002715127,0.027416792,0.011880511,0.008313131,0.010258512,0.007889593,0.003213425,0.04520086,0.050934226,0.03068393,0.034106326,0.023616252,0.000618792999999999
"2006-02-23",-0.026036479,-0.012284833,-0.001415443,-0.010624645,-0.002894803,-0.003018838,-0.041306702,-0.033103344,-0.002733501,-0.019142394,-0.00461574,-0.002645097,0.026032616,0.011574079,0.007809735,0.009993916,0.007411844,0.003018838,0.045790853,0.050593306,0.031115832,0.032065091,0.022573364,0.001119411
"2006-02-24",-0.02492594,-0.011974775,-0.001481325,-0.010356489,-0.00302954,-0.003159348,-0.039268311,-0.03146977,-0.002598609,-0.018325909,-0.004418864,-0.002578337,0.024922242,0.011281958,0.008173233,0.009741677,0.007756823,0.003159348,0.043496798,0.047931969,0.028351486,0.030480608,0.020338734,6.00259999999995e-05
"2006-02-27",-0.024568423,-0.012130243,-0.001396672,-0.010490946,-0.002856412,-0.002978802,-0.037846827,-0.030330587,-0.002504541,-0.018063058,-0.004355483,-0.002611811,0.024564778,0.011428433,0.007706161,0.009868154,0.007313547,0.002978802,0.041483209,0.045675374,0.027736593,0.02969531,0.020683542,0.001110132
"2006-02-28",-0.02510586,-0.011856999,-0.001316371,-0.010254629,-0.002692185,-0.002807538,-0.03672125,-0.029428546,-0.002430055,-0.018458189,-0.00445076,-0.002552978,0.025102136,0.011170997,0.007263101,0.009645866,0.00689306,0.002807538,0.039074382,0.044315809,0.027383101,0.030918433,0.02225171,0.001567424
"2006-03-01",-0.02401047,-0.011734759,-0.001668901,-0.010148909,-0.003413164,-0.003559409,-0.035363136,-0.028340148,-0.002340181,-0.017652843,-0.00425657,-0.002526658,0.024006908,0.011055831,0.009208193,0.009546422,0.008739053,0.003559409,0.037898746,0.04245172,0.022438654,0.029157649,0.017156901,-0.002133041
"2006-03-02",-0.02351341,-0.011825266,-0.001565061,-0.010227185,-0.003200794,-0.00333794,-0.034091046,-0.02732069,-0.002255999,-0.017287397,-0.00416845,-0.002546146,0.023509921,0.0111411,0.00863525,0.00962005,0.008195301,0.00333794,0.036272578,0.040484705,0.022170718,0.028201284,0.017497033,-0.000973238
"2006-03-03",-0.023706344,-0.011757049,-0.001542987,-0.010168186,-0.003155649,-0.003290861,-0.037468682,-0.03002754,-0.002479517,-0.017429245,-0.004202655,-0.002531458,0.023702827,0.011076829,0.008513457,0.009564554,0.008079713,0.003290861,0.041708802,0.045521973,0.025875761,0.028608166,0.017992099,-0.000838703999999999
"2006-03-06",-0.022706753,-0.011751133,-0.00153162,-0.01016307,-0.003132403,-0.003266618,-0.036129312,-0.028954164,-0.002390883,-0.016694331,-0.004025447,-0.002530184,0.022703384,0.011071256,0.008450743,0.009559742,0.008020193,0.003266618,0.040469314,0.043560031,0.024608818,0.026887499,0.016691101,-0.000732016
"2006-03-07",-0.022429424,-0.011614844,-0.001728912,-0.010045199,-0.003535895,-0.003687399,-0.035962518,-0.028820495,-0.002379846,-0.016490435,-0.003976282,-0.002500839,0.022426096,0.010942853,0.009539302,0.009448868,0.009053293,0.003687399,0.040466664,0.043461837,0.022453486,0.026555269,0.014315121,-0.002889893
