"da[, 1]","DCoVaR1DL","DCoVaR2DL","DCoVaR3DL","DCoVaR4DL","DCoVaR5DL","DCoVaR6DL","VaR1D","DCoVaR2DR","DCoVaR3DR","DCoVaR4DR","DCoVaR5DR","DCoVaR6DR","DCoVaR1UL","DCoVaR2UL","DCoVaR3UL","DCoVaR4UL","DCoVaR5UL","DCoVaR6UL","DCoVaR1UR","DCoVaR2UR","DCoVaR3UR","DCoVaR4UR","DCoVaR5UR","DCoVaR6UR"
"2014-07-01",-0.016746614,-0.012590219,-0.005945191,-0.010967575,-0.001275634,-0.00290595,-0.025472419,-0.020054322,-0.010127211,-0.01223073,-0.001901137,-0.003721927,0.016746614,0.012982461,0.001103926,0.012157549,0.006610454,0.00290595,0.028658943,0.029007255,0.011699097,0.017583751,0.015395115,0.006941754
"2014-07-02",-0.016894151,-0.012258864,-0.005622152,-0.010678925,-0.001206321,-0.002748052,-0.024419304,-0.019225208,-0.009708518,-0.012338482,-0.001917886,-0.003623972,0.016894151,0.012640782,0.001043942,0.01183758,0.006251268,0.002748052,0.02675362,0.027729994,0.011458814,0.018221022,0.016162059,0.007028797
"2014-07-03",-0.016291514,-0.01194039,-0.005346495,-0.010401496,-0.001147175,-0.002613314,-0.024077244,-0.018955907,-0.009572524,-0.011898352,-0.001849473,-0.003529824,0.016291514,0.012312385,0.000992758,0.01153005,0.005944765,0.002613314,0.02678276,0.027546449,0.011667636,0.01745226,0.015709558,0.007053947
"2014-07-04",-0.015763979,-0.012452169,-0.005068392,-0.010847317,-0.001087503,-0.002477379,-0.023251375,-0.018305703,-0.009244179,-0.011513072,-0.001789585,-0.003681116,0.015763979,0.012840109,0.000941118000000001,0.012024243,0.005635542,0.002477379,0.025929286,0.025698254,0.011520822,0.015911987,0.015375276,0.008225092
"2014-07-07",-0.015094315,-0.01212165,-0.004917312,-0.010559395,-0.001055087,-0.002403533,-0.022701543,-0.017872823,-0.009025579,-0.011023989,-0.001713563,-0.003583408,0.015094315,0.012499293,0.000913064999999999,0.011705082,0.005467557,0.002403533,0.025678277,0.025204209,0.011365836,0.015032076,0.014611615,0.008024359
"2014-07-08",-0.014748189,-0.01181547,-0.005720823,-0.010292676,-0.001227493,-0.002796281,-0.021653499,-0.017047703,-0.008608902,-0.010771199,-0.001674269,-0.003492895,0.014748189,0.012183575,0.001062264,0.011409425,0.00636098,0.002796281,0.024273147,0.02390723,0.009236487,0.014725765,0.012735635,0.00625319
"2014-07-09",-0.014574903,-0.011532324,-0.007318542,-0.010046023,-0.001570309,-0.003577231,-0.020983374,-0.016520116,-0.008342476,-0.010644642,-0.001654597,-0.003409192,0.014574903,0.011891607,0.001358935,0.011136008,0.008137483,0.003577231,0.023326858,0.02317379,0.006053706,0.014714879,0.009787838,0.003179263
"2014-07-10",-0.017075486,-0.013022512,-0.006911144,-0.011344153,-0.001482895,-0.003378098,-0.023326596,-0.018364924,-0.009274084,-0.012470919,-0.001938472,-0.003849722,0.017075486,0.01342822,0.001283287,0.012574985,0.007684497,0.003378098,0.024748528,0.025189739,0.008480546,0.017719691,0.014271809,0.005913302
"2014-07-11",-0.016808619,-0.013644466,-0.007562441,-0.011885948,-0.001622641,-0.003696446,-0.022319917,-0.017572371,-0.008873854,-0.012276015,-0.001908177,-0.004033584,0.016808619,0.014069551,0.001404223,0.013175565,0.008408674,0.003696446,0.023333516,0.022938968,0.006637704,0.016542201,0.012772008,0.005674389
"2014-07-14",-0.01656475,-0.013240371,-0.007150854,-0.011533934,-0.001534329,-0.003495266,-0.022066897,-0.017373169,-0.008773259,-0.012097907,-0.001880492,-0.003914125,0.01656475,0.013652867,0.001327798,0.012785357,0.00795103,0.003495266,0.023153966,0.022988083,0.007141123,0.016533043,0.01309302,0.005810173
