"da[, 1]","PCoVaR1DL","PCoVaR2DL","PCoVaR3DL","PCoVaR4DL","PCoVaR5DL","PCoVaR6DL","VaR1D","PCoVaR2DR","PCoVaR3DR","PCoVaR4DR","PCoVaR5DR","PCoVaR6DR","PCoVaR1UL","PCoVaR2UL","PCoVaR3UL","PCoVaR4UL","PCoVaR5UL","PCoVaR6UL","PCoVaR1UR","PCoVaR2UR","PCoVaR3UR","PCoVaR4UR","PCoVaR5UR","PCoVaR6UR"
"2016-12-01",1.06300781229131,0.952433188124599,0.238621460432918,0.897102431295698,0.333277428157314,0.570975739502814,1.93645266421256,1.63297668487846,0.290108858222438,0.883748582052209,0.284148456685145,0.467907722101288,0.952120819649383,0.884832111399499,0.211624360128762,0.833473762742906,0.99298783167663,1.05331162564974,2.29419141208803,1.45047800846886,0.742999719054387,0.458130324074209,0.71565803815781,1.19876178225061
"2016-12-02",1.06231557186294,0.95307722015785,0.237492111750205,0.897709049162241,0.331700082169269,0.568273541495481,1.93222265872968,1.62940965581557,0.28947516238754,0.883173150272341,0.283963416426042,0.468224112385715,0.952676987278533,0.884241799683533,0.212520514705882,0.832917688722106,0.997192941176471,1.05777220588235,2.28149164029808,1.54226180988642,0.630075,0.519080512295333,0.611986838235294,0.982441911764706
"2016-12-05",1.05493100307831,0.951784345858572,0.238053565875335,0.896491321462096,0.332484260322992,0.569616961927501,1.89807686442958,1.60061509576446,0.284359687586698,0.877033839569389,0.281989504550921,0.467588971796032,0.958695218701849,0.885428284755371,0.212072980210994,0.83403529682427,0.99509293101514,1.05554460787943,2.07447619540474,1.53331732056775,0.785345115101967,0.620956700672404,0.897981260393826,1.18904487843373
"2016-12-06",1.05166471863049,0.951338256824565,0.238934481636697,0.896071136532445,0.333714634422718,0.571724822527711,1.8562375478145,1.56533275203909,0.278091550208568,0.874318327892349,0.28111637007113,0.467369849720384,0.961408676099439,0.885839094540281,0.211378738378828,0.834422318513597,0.991835369591528,1.05208920808561,2.13505165563435,1.68406840063751,1.03294805039478,0.687400489152637,1.13444376887734,1.36545771876015
"2016-12-07",1.05343137890019,0.951951822314476,0.239836903808885,0.896649088922943,0.334974961325776,0.573884051566148,1.86828775014311,1.57549443474658,0.279896820528054,0.875787081652168,0.281588592545135,0.46767127716281,0.959937097265145,0.885274268882704,0.210677567930193,0.833890239168656,0.988545052180288,1.04859903873696,2.16405275350778,1.70055682126665,1.09518622845433,0.680752149524174,1.1744588442415,1.41857350781771
"2016-12-08",1.05326358504368,0.952379672883492,0.240907504608572,0.897052074363881,0.336470311193598,0.576446013565658,1.86820411773296,1.57542388023956,0.27988424482445,0.875647582652451,0.281543788660723,0.467881475856131,0.960076396692994,0.884881200064355,0.209858081118573,0.833519978789946,0.984700419760326,1.04452075011935,2.1546851754674,1.75709580230624,1.22142179175551,0.721148839095905,1.31248615948189,1.51123757688163
"2016-12-09",1.05333951693579,0.952900294987868,0.24189163136897,0.89754242211131,0.337844738214705,0.578800711656794,1.87751729880134,1.58327752557466,0.281279542426468,0.875710705510393,0.281564094674521,0.468137189157349,0.960013384867784,0.884403843070147,0.209117040350629,0.833070314288685,0.981223057172021,1.04083214982366,2.10228714605627,1.77474928271001,1.29627505469222,0.761127954635335,1.42752964948753,1.57570256605491
"2016-12-12",1.05460369308001,0.953290668634254,0.242973817559805,0.897910148502661,0.339356243584175,0.581390207911405,1.88316149034498,1.58803712905219,0.282125061734655,0.876761715670353,0.281901956030114,0.468328992133646,0.958965537801924,0.884046573240926,0.208315066425708,0.832733783916766,0.977459857940566,1.03684035017001,2.14140837004466,1.79488365436317,1.39352230767228,0.750820368799044,1.49570696498609,1.66309338521983
"2016-12-13",1.03844537181429,0.95167384797557,0.242818283790716,0.896387223916759,0.339138925546813,0.581017807559473,1.79447276919339,1.51324758161259,0.268838248145441,0.863328248845298,0.277582779431975,0.467534735166823,0.972728765531587,0.885530062285775,0.208429589219526,0.834131205512898,0.977997008681005,1.03741010642733,1.66708299369176,2.14566181678095,1.85337347376277,1.33906338017285,2.57237211279384,1.85626159601585
"2016-12-14",1.03954467252435,0.951207191423582,0.243953491219906,0.895947713596307,0.34072457201636,0.583734417476917,1.81283821555697,1.52873480971701,0.271589653263414,0.86424214398426,0.277876628675785,0.46730544316933,0.971766097384054,0.885959960877804,0.207600195910882,0.834536096338407,0.974105687668035,1.03328234092662,1.62415832854467,1.93577425270493,1.87546643463037,1.21704505165352,2.64684885683917,2.07688918530252
