Date,VaR1D,VaR2D,VaR3D,VaR4D,VaR1U,VaR2U,VaR3U,VaR4U,CoVaR1DL,CoVaR1DR,CoVaR1UL,CoVaR1UR,CoVaR2DL,CoVaR2DR,CoVaR2UL,CoVaR2UR,CoVaR3DL,CoVaR3DR,CoVaR3UL,CoVaR3UR,CoVaR4DL,CoVaR4DR,CoVaR4UL,CoVaR4UR,CoVaR5DL,CoVaR5DR,CoVaR5UL,CoVaR5UR,CoVaR6DL,CoVaR6DR,CoVaR6UL,CoVaR6UR
2014-07-16,-0.011350495,-0.015543558,-0.01387712,-0.010880754,0.018276495,0.016851558,0.014105627,0.012310754,-0.031805016,-0.033470804,0.033113016,0.040396804,-0.026433717,-0.028765715,0.027053416,0.037927083,-0.017782128,-0.020144989,0.013592227,0.019910769,-0.024815405,-0.027419959,0.026230708,0.030826088,-0.012361552,-0.017389619,0.019984387,0.025362121,-0.014254076,-0.017589108,0.015684076,0.017599676
2014-07-17,-0.010966664,-0.015528979,-0.013573454,-0.010246336,0.017892664,0.016836979,0.013811183,0.011676336,-0.031775801,-0.032513815,0.033083801,0.039439815,-0.025861663,-0.02793064,0.026482224,0.037034087,-0.016770128,-0.019533285,0.012887699,0.019484592,-0.024277942,-0.027394691,0.0256771,0.030798932,-0.011646119,-0.017373379,0.018930136,0.025339882,-0.013435101,-0.017206101,0.014865101,0.01723055
2014-07-18,-0.011308701,-0.016060242,-0.013235083,-0.014804397,0.018234701,0.017368242,0.01348309,0.016234397,-0.032840423,-0.033366601,0.034148423,0.040292601,-0.025224232,-0.028674787,0.025845754,0.037829848,-0.024040982,-0.020078383,0.017949481,0.019864364,-0.023679054,-0.028315488,0.025060224,0.031788545,-0.016786252,-0.01796519,0.02650455,0.026150283,-0.019319147,-0.016779322,0.020749147,0.016819239
2014-07-21,-0.01080905,-0.01619626,-0.012978955,-0.013841736,0.01773505,0.01750426,0.01323474,0.015271736,-0.033112995,-0.032120843,0.034420995,0.039046843,-0.024741731,-0.027587729,0.025363979,0.036667393,-0.022505379,-0.019282098,0.016880434,0.019309589,-0.023225728,-0.028551236,0.024593281,0.032041912,-0.015700657,-0.01811671,0.024904836,0.026357767,-0.018076438,-0.016456273,0.019506438,0.016507898
2014-07-22,-0.010569172,-0.015494229,-0.012800204,-0.013920389,0.017495172,0.016802229,0.013061419,0.015350389,-0.031706164,-0.031522767,0.033014164,0.038448767,-0.024404997,-0.027065844,0.025027752,0.03610931,-0.022630845,-0.018899809,0.016967779,0.019043247,-0.022909355,-0.027334461,0.024267405,0.030734201,-0.015789355,-0.017334668,0.025035539,0.025286874,-0.018177973,-0.016230819,0.019607973,0.016290616
2014-07-23,-0.011249527,-0.016148599,-0.012551428,-0.013059284,0.018175527,0.017456599,0.012820198,0.014489284,-0.033017484,-0.033219066,0.034325484,0.040145066,-0.023936345,-0.028546047,0.024559806,0.037692179,-0.02125724,-0.019984079,0.016011511,0.019798662,-0.022469041,-0.028468628,0.023813865,0.031953131,-0.014818284,-0.018063617,0.023604586,0.026285063,-0.017066363,-0.015917043,0.018496363,0.015988211
2014-07-24,-0.010710339,-0.015501828,-0.013383347,-0.012284172,0.017636339,0.016809828,0.01362685,0.013714172,-0.031721392,-0.031874733,0.033029392,0.038800733,-0.025503535,-0.027372971,0.026124635,0.036437739,-0.02002081,-0.019124785,0.01515074,0.019199988,-0.023941468,-0.027347632,0.02533052,0.030748356,-0.01394419,-0.017343133,0.022316535,0.025298465,-0.016065764,-0.016966323,0.017495764,0.016999463
2014-07-25,-0.011727337,-0.016600052,-0.013286527,-0.011616899,0.018653337,0.017908052,0.013532971,0.013046899,-0.033922171,-0.034410366,0.035230171,0.041336366,-0.025321143,-0.029585584,0.025942518,0.038803818,-0.0189564,-0.020745555,0.014409725,0.020329185,-0.023770105,-0.029251097,0.02515401,0.032794078,-0.013191705,-0.018566523,0.021207686,0.02697372,-0.015204374,-0.016844206,0.016634374,0.016881772
2014-07-28,-0.012311291,-0.016645463,-0.013135853,-0.012981543,0.019237291,0.017953463,0.013386873,0.014411543,-0.034013173,-0.035866311,0.035321173,0.042792311,-0.025037299,-0.030856053,0.025659102,0.040162405,-0.021133231,-0.021676191,0.015925179,0.020977562,-0.023503424,-0.029329805,0.024879318,0.032878668,-0.014730616,-0.018617109,0.023475399,0.027042991,-0.016966006,-0.016654164,0.018396006,0.016698618
2014-07-29,-0.014871572,-0.01917233,-0.012839506,-0.012475603,0.021797572,0.02048033,0.013099527,0.013905603,-0.039076876,-0.042249742,0.040384876,0.049175742,-0.024479035,-0.036426282,0.025101678,0.046118984,-0.020326174,-0.025756463,0.015363327,0.023820302,-0.022978916,-0.033709426,0.024339056,0.037585604,-0.014160067,-0.021431968,0.022634649,0.030897532,-0.016312884,-0.01628039,0.017742884,0.01633839
