"da[, 1]","DCoVaR1DL","DCoVaR2DL","DCoVaR3DL","DCoVaR4DL","DCoVaR5DL","DCoVaR6DL","VaR1D","DCoVaR2DR","DCoVaR3DR","DCoVaR4DR","DCoVaR5DR","DCoVaR6DR","DCoVaR1UL","DCoVaR2UL","DCoVaR3UL","DCoVaR4UL","DCoVaR5UL","DCoVaR6UL","DCoVaR1UR","DCoVaR2UR","DCoVaR3UR","DCoVaR4UR","DCoVaR5UR","DCoVaR6UR"
"2016-12-01",-0.011938662,-0.014494654,-0.002674817,-0.0136526,-0.003735859,-0.006400328,-0.022671951,-0.01911886,-0.003396589,-0.009925398,-0.003191277,-0.007120878,0.011938662,0.013632004,0.002674817,0.012840761,0.012550827,0.013313287,0.028766912,0.022346524,0.009391113,0.007058101,0.009045529,0.015151698
"2016-12-02",-0.012073788,-0.014056589,-0.002890279,-0.013239984,-0.00403679,-0.006915889,-0.022841005,-0.019261421,-0.003421916,-0.010037738,-0.003227397,-0.006905667,0.012073788,0.01322001,0.002890279,0.01245268,0.013561824,0.014385702,0.028914571,0.023057852,0.00856902,0.007760603,0.008323021,0.01336121
"2016-12-05",-0.013745982,-0.014965108,-0.002778735,-0.014095724,-0.003880999,-0.006648985,-0.02433542,-0.020521635,-0.003645802,-0.011427943,-0.003674385,-0.007352001,0.013745982,0.014074459,0.002778735,0.013257534,0.013038434,0.013830516,0.029744294,0.024373077,0.010290165,0.009870511,0.011766006,0.015579734
"2016-12-06",-0.014652671,-0.015307102,-0.002620982,-0.01441785,-0.003660669,-0.006271512,-0.026551091,-0.022390072,-0.003977742,-0.012181733,-0.003916748,-0.007520015,0.014652671,0.014396098,0.002620982,0.013560505,0.012298222,0.013045337,0.03253997,0.027368417,0.012807997,0.011171199,0.014066489,0.016930937
"2016-12-07",-0.01414724,-0.014840729,-0.002477951,-0.013978571,-0.0034609,-0.005929265,-0.025862102,-0.021809059,-0.003874521,-0.011761535,-0.003781643,-0.007290897,0.01414724,0.013957482,0.002477951,0.013147347,0.011627086,0.01233343,0.031893104,0.026811455,0.01288138,0.010732929,0.01381377,0.016685002
"2016-12-08",-0.01419366,-0.01453233,-0.002328405,-0.013688088,-0.003252033,-0.005571432,-0.025866732,-0.021812963,-0.003875214,-0.011800127,-0.003794052,-0.007139388,0.01419366,0.013667437,0.002328405,0.012874137,0.01092539,0.011589105,0.03185462,0.027139232,0.013551847,0.011138508,0.014562219,0.016767394
"2016-12-09",-0.01417262,-0.014174248,-0.002207034,-0.013350808,-0.003082516,-0.005281013,-0.025363706,-0.02138877,-0.003799854,-0.011782635,-0.003788428,-0.00696347,0.01417262,0.013330666,0.002207034,0.012556913,0.010355888,0.010985006,0.031035939,0.02675089,0.013680966,0.011472522,0.015066235,0.016630061
"2016-12-12",-0.013831486,-0.013917345,-0.00208835,-0.01310883,-0.002916753,-0.004997025,-0.025070576,-0.021141578,-0.003755938,-0.011499028,-0.00369724,-0.00683726,0.013831486,0.013089053,0.00208835,0.012329324,0.009798995,0.010394282,0.030886261,0.026574762,0.013970004,0.011116527,0.014994401,0.016672443
"2016-12-13",-0.020105183,-0.015048416,-0.002104559,-0.014174192,-0.002939391,-0.005035808,-0.030951366,-0.026100747,-0.004636967,-0.016714767,-0.005374238,-0.007392929,0.020105183,0.014152808,0.002104559,0.013331336,0.009875049,0.010474956,0.034456685,0.034292613,0.018713916,0.021401314,0.025973802,0.018743078
"2016-12-14",-0.019494864,-0.01541058,-0.001992173,-0.014515317,-0.002782425,-0.004766892,-0.029464636,-0.024847013,-0.004414233,-0.016207368,-0.005211096,-0.007570851,0.019494864,0.014493419,0.001992173,0.013652176,0.009347713,0.009915584,0.032582682,0.031667331,0.017997351,0.01990964,0.025399691,0.019930244
"2016-12-15",-0.019996973,-0.014896894,-0.002665083,-0.014031473,-0.003722264,-0.006377038,-0.029327043,-0.024730983,-0.00439362,-0.016624805,-0.005345313,-0.007318489,0.019996973,0.014010305,0.002665083,0.013197104,0.012505155,0.013264841,0.031853167,0.031993532,0.014884803,0.02136123,0.023284333,0.015957163
"2016-12-16",-0.019335091,-0.016403711,-0.002519388,-0.015450752,-0.003518775,-0.006028418,-0.029871536,-0.025190144,-0.004475193,-0.016074539,-0.005168387,-0.008058753,0.019335091,0.015427443,0.002519388,0.014531987,0.011821523,0.012539678,0.033420915,0.031249757,0.015980239,0.018584773,0.022767887,0.019461449
"2016-12-19",-0.019005251,-0.017004136,-0.002573987,-0.016016296,-0.003595032,-0.006159062,-0.028664148,-0.024171975,-0.004294308,-0.015800321,-0.00508022,-0.008353727,0.019005251,0.015992134,0.002573987,0.015063902,0.012077712,0.01281143,0.03173396,0.028799141,0.014748025,0.017357675,0.021943442,0.020355596
"2016-12-20",-0.018681855,-0.016854379,-0.002437424,-0.015875239,-0.003404297,-0.005832292,-0.027789696,-0.023434565,-0.004163302,-0.01553146,-0.004993774,-0.008280155,0.018681855,0.015851289,0.002437424,0.014931232,0.011436927,0.012131718,0.03059631,0.027632357,0.014640682,0.016922638,0.021982555,0.020680673
"2016-12-21",-0.018411447,-0.016680821,-0.002307233,-0.015711764,-0.003222462,-0.005520769,-0.027788265,-0.023433358,-0.004163088,-0.015306652,-0.004921492,-0.00819489,0.018411447,0.01568806,0.002307233,0.014777477,0.010826041,0.011483721,0.030863114,0.027810716,0.015219911,0.016609161,0.022086609,0.020932255
"2016-12-22",-0.018228986,-0.016180647,-0.002429591,-0.015240648,-0.003393357,-0.005813549,-0.028564683,-0.024088098,-0.004279407,-0.01515496,-0.004872719,-0.007949167,0.018228986,0.015217655,0.002429591,0.014334375,0.011400171,0.012092729,0.032340715,0.029505242,0.015310294,0.016796072,0.02121971,0.019439164
"2016-12-23",-0.017622294,-0.016050385,-0.002520797,-0.015117953,-0.003520742,-0.006031788,-0.027225276,-0.022958599,-0.004078744,-0.014650578,-0.004710547,-0.007885172,0.017622294,0.015095145,0.002520797,0.014218977,0.011828133,0.012546689,0.030709007,0.027614965,0.013806759,0.015823213,0.019744365,0.018785768
"2016-12-26",-0.018088054,-0.015810862,-0.002389292,-0.014892345,-0.003337072,-0.005717122,-0.028438072,-0.023981329,-0.004260439,-0.015037795,-0.004835047,-0.0077675,0.018088054,0.014869878,0.002389292,0.014006785,0.011211082,0.011892153,0.03226968,0.029698376,0.015386255,0.016923234,0.021151099,0.01891823
"2016-12-27",-0.017467614,-0.015312713,-0.002322334,-0.014423135,-0.003243553,-0.005556903,-0.027755395,-0.02340564,-0.004158164,-0.014521981,-0.004669199,-0.007522771,0.017467614,0.014401376,0.002322334,0.013565476,0.010896898,0.011558883,0.031747841,0.029184011,0.01512567,0.016307906,0.020356644,0.018272956
