Date,VaR1D,VaR2D,VaR3D,VaR4D,VaR1U,VaR2U,VaR3U,VaR4U,CoVaR1DL,CoVaR1DR,CoVaR1UL,CoVaR1UR,CoVaR2DL,CoVaR2DR,CoVaR2UL,CoVaR2UR,CoVaR3DL,CoVaR3DR,CoVaR3UL,CoVaR3UR,CoVaR4DL,CoVaR4DR,CoVaR4UL,CoVaR4UR,CoVaR5DL,CoVaR5DR,CoVaR5UL,CoVaR5UR,CoVaR6DL,CoVaR6DR,CoVaR6UL,CoVaR6UR
2016-12-01,-0.011707981,-0.01123102,-0.015218552,-0.011209457,0.018633981,0.01253902,0.015406317,0.012639457,-0.023169682,-0.034379932,0.024477682,0.041305932,-0.029713206,-0.030826841,0.029038321,0.037752841,-0.013884274,-0.01510457,0.015314274,0.02203057,-0.028871152,-0.021156418,0.028247078,0.022464418,-0.014945316,-0.014422297,0.025190284,0.021684986,-0.017609785,-0.02233943,0.025952744,0.027791155
2016-12-02,-0.011821104,-0.011365538,-0.014748636,-0.01217,0.018747104,0.012673538,0.014950673,0.0136,-0.023439326,-0.034662109,0.024747326,0.041588109,-0.028805225,-0.031082525,0.028170683,0.038008525,-0.015060279,-0.01524302,0.016490279,0.02216902,-0.02798862,-0.021403276,0.027403353,0.022711276,-0.01620679,-0.014592935,0.027161824,0.021923021,-0.019085889,-0.021654303,0.027985702,0.02696121
2016-12-05,-0.012821093,-0.013030219,-0.015723213,-0.01167273,0.019747093,0.014338219,0.015895651,0.01310273,-0.026776201,-0.037156513,0.028084201,0.044082513,-0.030688321,-0.033342728,0.02997011,0.040268728,-0.014451465,-0.016466895,0.015881465,0.023392895,-0.029818937,-0.024458162,0.029153185,0.025766162,-0.015553729,-0.016704604,0.026141164,0.024868736,-0.018321715,-0.023075214,0.026933246,0.028682464
2016-12-06,-0.014303714,-0.013932835,-0.016090073,-0.010969459,0.021229714,0.015240835,0.016251369,0.012399459,-0.028585506,-0.040854805,0.029893506,0.047780805,-0.031397175,-0.036693786,0.030647467,0.043619786,-0.013590441,-0.018281456,0.015020441,0.025207456,-0.030507923,-0.026114568,0.029811874,0.027422568,-0.014630128,-0.017849583,0.024697681,0.026465948,-0.017240971,-0.023610088,0.025444796,0.029330396
2016-12-07,-0.013842676,-0.013429674,-0.01558979,-0.010331817,0.020768676,0.014737674,0.01576628,0.011761817,-0.027576914,-0.039704778,0.028884914,0.046630778,-0.030430519,-0.035651735,0.029723762,0.042577735,-0.012809768,-0.017717197,0.014239768,0.024643197,-0.029568361,-0.025191209,0.028913627,0.026499209,-0.013792717,-0.017211317,0.023388903,0.025575587,-0.016261082,-0.022880687,0.024095247,0.028446819
2016-12-08,-0.013845774,-0.013475886,-0.015258967,-0.009665141,0.020771774,0.014783886,0.015445505,0.011095141,-0.027669546,-0.039712506,0.028977546,0.046638506,-0.029791297,-0.035658737,0.029112942,0.042584737,-0.011993546,-0.017720988,0.013423546,0.024646988,-0.028947055,-0.025276013,0.028319642,0.026584013,-0.012917174,-0.017269938,0.022020531,0.02565736,-0.015236573,-0.022398355,0.022684246,0.027862535
2016-12-09,-0.013509173,-0.01345494,-0.014874849,-0.009124061,0.020435173,0.01476294,0.015073053,0.010554061,-0.02762756,-0.038872879,0.02893556,0.045798879,-0.029049097,-0.034897943,0.028403719,0.041823943,-0.011331095,-0.017309027,0.012761095,0.024235027,-0.028225657,-0.025237575,0.027629966,0.026545575,-0.012206577,-0.017243368,0.020909949,0.025620296,-0.014405074,-0.021838319,0.021539067,0.027184122
2016-12-12,-0.013313025,-0.01311534,-0.014599267,-0.008594959,0.020239025,0.01442334,0.014805841,0.010024959,-0.026946826,-0.038383601,0.028254826,0.045309601,-0.028516612,-0.034454603,0.027894894,0.041380603,-0.010683309,-0.017068963,0.012113309,0.023994963,-0.027708097,-0.024614368,0.027135165,0.025922368,-0.011511712,-0.01681258,0.019823954,0.02501936,-0.013591984,-0.021436527,0.020419241,0.026697402
2016-12-13,-0.017248167,-0.019360848,-0.015812577,-0.008667218,0.024174167,0.020668848,0.015982301,0.010097218,-0.039466031,-0.048199533,0.040774031,0.055125533,-0.030860993,-0.043348914,0.030135109,0.050274914,-0.010771777,-0.021885134,0.012201777,0.028811134,-0.029986769,-0.036075615,0.029313637,0.037383615,-0.011606609,-0.024735086,0.019972267,0.03607102,-0.013703026,-0.023205506,0.020572174,0.028840296
2016-12-14,-0.016253318,-0.018753272,-0.016201076,-0.0081662,0.023179318,0.020061272,0.016359,0.0095962,-0.038248136,-0.045717954,0.039556136,0.052643954,-0.031611656,-0.041100331,0.030852419,0.048026331,-0.010158373,-0.020667551,0.011588373,0.027593551,-0.030716393,-0.03496064,0.030011176,0.03626864,-0.010948625,-0.023964368,0.018943913,0.034995891,-0.012933092,-0.023771927,0.019511784,0.029526444
