"","","","","","","","","","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR","CoVaR"
"2014/7/1","-0.0135953316219109","-0.0160268079419535","-0.0139151628413698","-0.00927416604125675","0.0205213316219109","0.0173348079419535","0.0141425140899995","0.0107041660412568","-0.0327734223641053","-0.0390677514890533","0.0340814223641052","0.0459937514890531","-0.0265053824963111","-0.0336496536794586","0.0271249745315721","0.0431497692960445","-0.01521935716248","-0.0237225431444354","0.0118080916118398","0.0224032629306232","-0.0248827377364538","-0.0282575382337664","0.0263000627299191","0.0317262648614297","-0.0105498004600483","-0.0179279453937202","0.0173146204636567","0.0260992809971263","-0.0121801160425805","-0.0176370900515808","0.0136101160425807","0.017645919790061"
"2014/7/2","-0.0128900822370786","-0.0161737655805012","-0.0135402513623906","-0.00873139372771349","0.0198160822370786","0.0174817655805012","0.0137789892820652","0.0101613937277135","-0.0330679173951889","-0.037309385724515","0.0343759173951888","0.0442353857245147","-0.0257991151792788","-0.0321152904863247","0.0264197706920157","0.0415089834177781","-0.0143535463564344","-0.0225986004281197","0.0112053362893596","0.0216202081116381","-0.0242191760138433","-0.0285122484013075","0.0256165693409226","0.0320000109943661","-0.00993771514861679","-0.0180916520213719","0.0164126618451106","0.0263234534964761","-0.011479445742484","-0.0171642229893225","0.0129094457424842","0.0171901905596781"
"2014/7/3","-0.0126610123996743","-0.0155734959586126","-0.0131799144258901","-0.00826823126334371","0.0195870123996743","0.0168814959586126","0.0134295963640631","0.00969823126334371","-0.0318650100628201","-0.0367382564637984","0.03317301006282","0.0436642564637982","-0.0251203037380744","-0.0316169187972039","0.0257419813860011","0.0409760449105873","-0.0136147263086905","-0.0222335361248883","0.0106909886824423","0.0213658665355639","-0.0235814100031691","-0.0274718480691299","0.0249596464998829","0.0308818555222513","-0.00941540600687651","-0.0174229687433042","0.0156429958800244","0.0254077886644041","-0.0108815446063984","-0.0167097384559331","0.0123115446063985","0.0167521776314075"
"2014/7/4","-0.0121079453702916","-0.0150480340809477","-0.0137589666073766","-0.00780096076194452","0.0190339453702916","0.0163560340809477","0.0139910617895337","0.00923096076194452","-0.0308120133385569","-0.035359319947331","0.0321200133385568","0.0422853199473307","-0.0262111362507352","-0.0304136484201265","0.0268311713537228","0.0396893162851357","-0.0128693532685354","-0.0213521235739835","0.0101720790499342","0.0207517833305387","-0.0246062835655226","-0.0265611061422783","0.0260153045955158","0.0299030485787144","-0.00888846422441053","-0.0168376191636419","0.0148665033334941","0.0246062372541254","-0.0102783403635285","-0.0174400834021571","0.0117083403635287","0.0174560531322029"
"2014/7/7","-0.0117397351249426","-0.0143810012505875","-0.0133850010923837","-0.00754711484222605","0.0186657351249426","0.0156890012505875","0.0136284542151217","0.00897711484222605","-0.0294753162056143","-0.0344412783247524","0.0307833162056142","0.0413672783247521","-0.0255066509635527","-0.0296125583944575","0.0261277468606858","0.0388326630447427","-0.012464427418637","-0.0207653138124532","0.0098901800374342","0.0203429509185986","-0.0239443961194479","-0.0254049903686752","0.0253335357739628","0.0286605295803335","-0.00860220172547761","-0.0160945635710888","0.0144446717305184","0.0235887303166984","-0.00995064808389421","-0.0169684094621057","0.0113806480838944","0.0170014737824281"
"2014/7/8","-0.0110378827511146","-0.0140362351968106","-0.0130385756864351","-0.0088971808799956","0.0179638827511146","0.0153442351968106","0.0132925503118751","0.0103271808799956","-0.0287844239816579","-0.0326913821710782","0.0300924239816578","0.039617382171078","-0.0248540464002638","-0.0280855858474749","0.0254761249710065","0.0371997804242516","-0.0146180040385374","-0.0196467848488576","0.0113894449587656","0.0195636678800563","-0.0233312523454741","-0.0248074343641842","0.0247019747575035","0.0280183147562396","-0.0101246736175805","-0.0157105039975248","0.0166881606999967","0.0230628163953134","-0.011693462063588","-0.01653147121618","0.0131234620635882","0.0165803712222506"
"2014/7/9","-0.0105891139263441","-0.0138636301321511","-0.0127182103326035","-0.0115816832883348","0.0175151139263441","0.0151716301321511","0.0129819149746015","0.0130116832883348","-0.0284385329181893","-0.031572487557854","0.0297465329181892","0.0384984875578538","-0.0242505343938114","-0.0271092299912871","0.0248735217159713","0.0361557050005421","-0.0189002253972919","-0.0189315903903324","0.0143706178639829","0.0190653894009756","-0.0227642326675702","-0.0245082715212565","0.0241179232848634","0.0276967937421384","-0.0131519917980535","-0.0155182268669839","0.0211491658457873","0.0227995207331925","-0.0151589135266178","-0.0161274019032633","0.0165889135266181","0.0161909463464358"
"2014/7/10","-0.0121583191398296","-0.0163543871166591","-0.0144042781247148","-0.0108971691445145","0.0190843191398296","0.0176623871166591","0.01461677414712","0.0123271691445145","-0.0334298730269673","-0.0354849145436416","0.0347378730269672","0.0424109145436413","-0.0274267897037624","-0.0305232432096305","0.0280449943099471","0.0398065125159592","-0.017808313139016","-0.0214324033056405","0.0136104564975949","0.0208077145001866","-0.0257484305684134","-0.0288253055665626","0.0271917587204868","0.0323364647339396","-0.0123800639704081","-0.0182928592730528","0.020011665984188","0.0265989776651893","-0.014275267256159","-0.0182539996958808","0.0157052672561592","0.0182404711552374"
"2014/7/11","-0.0114841681864223","-0.0160885691099309","-0.0151079865940473","-0.0119914849296107","0.0184101681864223","0.0173965691099309","0.0152991098463426","0.0134214849296106","-0.0328971883504331","-0.0338040850638907","0.034205188350433","0.0407300850638905","-0.0287524527481742","-0.0290565387618552","0.0293686612082051","0.0382380781607366","-0.0195539261858152","-0.0203580215761766","0.0148257076212839","0.0200591889939722","-0.0269939352550061","-0.0283645840300824","0.0284746751248586","0.0318413108098168","-0.0136141258438894","-0.0179967455774284","0.0218301588018026","0.0261934928769923","-0.015687930633438","-0.0191415706966024","0.0171179306334383","0.0190958744627489"
"2014/7/14","-0.0113147266894888","-0.0158456581374925","-0.0146507745739911","-0.0112999314065487","0.0182407266894888","0.0171536581374925","0.0148557840985454","0.0127299314065487","-0.0324104081116803","-0.0333816243943634","0.0337184081116802","0.0403076243943631","-0.0278911456801715","-0.0286878964037394","0.0285086510721779","0.0378438669478805","-0.0184507849638225","-0.0200879858407108","0.0140577289377649","0.0198710541532145","-0.0261847085104612","-0.0279435654624272","0.0276411413159469","0.0313888270872287","-0.0128342596956482","-0.0177261496661816","0.0206809611645102","0.0258229509960182","-0.0147951971567185","-0.0185648998906247","0.0162251971567188","0.0185401035842754"
"2014/7/15","-0.0118733148999597","-0.0160973878889145","-0.0142094681430843","-0.0106301654482985","0.0187993148999597","0.0174053878889145","0.0144278808613002","0.0120601654482985","-0.0329148606988497","-0.0347743266169969","0.0342228606988496","0.0417003266169967","-0.027059801945927","-0.0299031788395674","0.0276785591519631","0.0391434407826379","-0.0173823984789096","-0.0209781973943557","0.013313945612643","0.0204912676542041","-0.0254036333182879","-0.0283798689291501","0.0268366046587399","0.0318577380378796","-0.0120789634233208","-0.0180065694462771","0.0195679692830547","0.0262069452415343","-0.0139305894690162","-0.0180082904314884","0.0153605894690164","0.0180036669815131"
"2014/7/16","-0.0113504949728384","-0.0155435580033772","-0.0138771200206692","-0.0108807536281258","0.0182764949728384","0.0168515580033771","0.0141056266916033","0.0123107536281258","-0.0318050160458722","-0.0334708038055771","0.0331130160458721","0.0403968038055769","-0.0264337165100317","-0.028765715028801","0.0270534164579206","0.0379270830349442","-0.0177821276997046","-0.0201449890829829","0.0135922268649705","0.0199107685113496","-0.0248154051498237","-0.0274199589555784","0.0262307076477051","0.0308260884348462","-0.0123615521631357","-0.0173896187130586","0.0199843872963934","0.0253621206316507","-0.0142540762990904","-0.0175891075333777","0.0156840762990906","0.0175996762729336"
"2014/7/17","-0.0109666638755423","-0.0155289794490521","-0.0135734538611721","-0.0102463363306098","0.0178926638755423","0.0168369794490521","0.0138111833669872","0.0116763363306098","-0.0317758014242198","-0.0325138154332852","0.0330838014242197","0.039439815433285","-0.0258616628499902","-0.0279306397763621","0.0264822241802025","0.0370340873689748","-0.0167701281226706","-0.0195332846627034","0.0128876986618739","0.0194845919036443","-0.0242779416385886","-0.0273946910889242","0.0256771001320231","0.0307989321542355","-0.0116461186389152","-0.0173733786183744","0.0189301364899849","0.0253398821757784","-0.0134351005570615","-0.0172061005229237","0.0148651005570617","0.0172305503514286"
"2014/7/18","-0.0113087009401401","-0.0160602423730196","-0.0132350833804232","-0.0148043967585763","0.0182347009401401","0.0173682423730196","0.0134830897477686","0.0162343967585763","-0.0328404231264568","-0.0333666006714246","0.0341484231264567","0.0402926006714244","-0.0252242323497235","-0.0286747865900898","0.0258457535048678","0.0378298478439295","-0.0240409816180887","-0.0200783827169981","0.0179494807656953","0.0198643636233581","-0.0236790544034001","-0.0283154875150876","0.0250602238836534","0.0317885450280256","-0.016786251558302","-0.0179651903985486","0.0265045498936825","0.0261502826330433","-0.0193191471236081","-0.0167793217653825","0.0207491471236085","0.0168192390755087"
"2014/7/21","-0.010809049624746","-0.0161962599051794","-0.0129789548412126","-0.0138417356602012","0.017735049624746","0.0175042599051793","0.0132347402486373","0.0152717356602012","-0.0331129947855904","-0.0321208430910697","0.0344209947855903","0.0390468430910695","-0.0247417312091975","-0.0275877291544794","0.0253639789009982","0.0366673926330671","-0.0225053793761618","-0.0192820977875639","0.0168804337890684","0.0193095891297587","-0.0232257284739003","-0.0285512360528793","0.0245932812235874","0.0320419124188482","-0.0157006569111554","-0.0181167100589857","0.0249048358833082","0.0263577668471404","-0.0180764381204787","-0.0164562728413356","0.019506438120479","0.0165078982161373"
"2014/7/22","-0.0105691720597883","-0.0154942292997438","-0.0128002044818054","-0.013920389184965","0.0174951720597883","0.0168022292997438","0.0130614188282086","0.015350389184965","-0.0317061640348207","-0.0315227674217053","0.0330141640348206","0.0384487674217051","-0.0244049969563525","-0.0270658438264728","0.025027751693127","0.0361093095924288","-0.0226308446402787","-0.0188998094116501","0.0169677794946253","0.0190432474820433","-0.0229093554017062","-0.0273344613761996","0.0242674051280668","0.0307342011263956","-0.0157893546320947","-0.0173346679408629","0.0250355393528286","0.0252868735135529","-0.0181779727555821","-0.0162308192020909","0.0196079727555824","0.0162906155553207"
"2014/7/23","-0.0112495273340274","-0.0161485985483774","-0.0125514276733269","-0.0130592835019993","0.0181755273340274","0.0174565985483774","0.0128201977757967","0.0144892835019993","-0.0330174840459542","-0.0332190658484379","0.0343254840459541","0.0401450658484376","-0.023936345184093","-0.0285460465937467","0.0245598056035345","0.0376921785040281","-0.0212572399319031","-0.0199840788508498","0.0160115110544811","0.0197986617901913","-0.0224690414160447","-0.0284686283552037","0.0238138652567518","0.0319531309696906","-0.0148182842090425","-0.0180636166637157","0.0236045863125757","0.0262850631375389","-0.017066362671126","-0.0159170428437261","0.0184963626711263","0.0159882112017017"
