,mean1,sigma1,mean2,sigma2,mean3,sigma3,mean4,sigma4
2016/12/1,0.003463,0.007306342,0.000654,0.007199384,0.000330,0.009286751,0.000715,0.005735763
2016/12/2,0.003463,0.007360822,0.000654,0.007280869,0.000330,0.009006082,0.000715,0.006197792
2016/12/5,0.003463,0.007842417,0.000654,0.008289254,0.000330,0.009588172,0.000715,0.005958601
2016/12/6,0.003463,0.008556447,0.000654,0.008836016,0.000330,0.009807288,0.000715,0.005620322
2016/12/7,0.003463,0.008334411,0.000654,0.008531225,0.000330,0.009508482,0.000715,0.005313611
2016/12/8,0.003463,0.008335903,0.000654,0.008559218,0.000330,0.00931089,0.000715,0.004992934
2016/12/9,0.003463,0.008173796,0.000654,0.00854653,0.000330,0.009081466,0.000715,0.00473267
2016/12/12,0.003463,0.008079331,0.000654,0.008340816,0.000330,0.008916868,0.000715,0.004478168
2016/12/13,0.003463,0.009974495,0.000654,0.01212405,0.000330,0.009641547,0.000715,0.004512925
2016/12/14,0.003463,0.009495376,0.000654,0.011756009,0.000330,0.009873587,0.000715,0.004271931
2016/12/15,0.003463,0.009451035,0.000654,0.012058796,0.000330,0.009544467,0.000715,0.005714891
2016/12/16,0.003463,0.009626505,0.000654,0.011659661,0.000330,0.010509887,0.000715,0.005402469
2016/12/19,0.003463,0.009237408,0.000654,0.011460757,0.000330,0.010894581,0.000715,0.005519548
2016/12/20,0.003463,0.008955604,0.000654,0.011265739,0.000330,0.010798631,0.000715,0.005226708
2016/12/21,0.003463,0.008955143,0.000654,0.011102675,0.000330,0.010687432,0.000715,0.004947531
2016/12/22,0.003463,0.009205354,0.000654,0.010992645,0.000330,0.01036697,0.000715,0.00520991
2016/12/23,0.003463,0.008773712,0.000654,0.010626791,0.000330,0.010283511,0.000715,0.00540549
2016/12/26,0.003463,0.009164552,0.000654,0.010907659,0.000330,0.010130048,0.000715,0.005123496
2016/12/27,0.003463,0.00894455,0.000654,0.010533514,0.000330,0.009810883,0.000715,0.004979913
2016/12/28,0.003463,0.008755181,0.000654,0.010091258,0.000330,0.009486882,0.000715,0.004723174
2016/12/29,0.003463,0.008692133,0.000654,0.010003935,0.000330,0.009184703,0.000715,0.006213845
2016/12/30,0.003463,0.008467461,0.000654,0.009768231,0.000330,0.009040951,0.000715,0.006126495
2017/1/3,0.003463,0.008192158,0.000654,0.00937497,0.000330,0.008774694,0.000715,0.006755701
2017/1/4,0.003463,0.008438887,0.000654,0.009441027,0.000330,0.008716577,0.000715,0.006350751
2017/1/5,0.003463,0.008463524,0.000654,0.009696695,0.000330,0.008572683,0.000715,0.005982878
2017/1/6,0.003463,0.008156068,0.000654,0.009394195,0.000330,0.008338115,0.000715,0.005845746
2017/1/9,0.003463,0.008098455,0.000654,0.009608932,0.000330,0.008583767,0.000715,0.005523785
2017/1/10,0.003463,0.00801604,0.000654,0.009393298,0.000330,0.008354969,0.000715,0.005943075
2017/1/11,0.003463,0.007927609,0.000654,0.009213327,0.000330,0.008145253,0.000715,0.005777334
2017/1/12,0.003463,0.008245838,0.000654,0.009489211,0.000330,0.008092307,0.000715,0.005462989
2017/1/13,0.003463,0.008345008,0.000654,0.009728642,0.000330,0.008164049,0.000715,0.005643484
2017/1/16,0.003463,0.00815119,0.000654,0.010239637,0.000330,0.008026891,0.000715,0.005342457
2017/1/17,0.003463,0.008039369,0.000654,0.012207949,0.000330,0.008336023,0.000715,0.005176838
2017/1/18,0.003463,0.007743188,0.000654,0.01234879,0.000330,0.008394243,0.000715,0.005552851
2017/1/19,0.003463,0.007439987,0.000654,0.012025403,0.000330,0.008226788,0.000715,0.0052588
2017/1/20,0.003463,0.007429219,0.000654,0.011709899,0.000330,0.008325317,0.000715,0.005736635
2017/1/23,0.003463,0.007501977,0.000654,0.011953309,0.000330,0.008384226,0.000715,0.005423817
2017/1/24,0.003463,0.007396006,0.000654,0.011789002,0.000330,0.008323309,0.000715,0.005704248
2017/1/25,0.003463,0.007136022,0.000654,0.011555175,0.000330,0.008104799,0.000715,0.005381735
2017/1/26,0.003463,0.006912848,0.000654,0.011214281,0.000330,0.007911729,0.000715,0.005074741
2017/2/3,0.003463,0.006751628,0.000654,0.011074799,0.000330,0.007764902,0.000715,0.00497661
2017/2/6,0.003463,0.006977138,0.000654,0.010931512,0.000330,0.008579664,0.000715,0.004789044
2017/2/7,0.003463,0.006959674,0.000654,0.010828153,0.000330,0.008655032,0.000715,0.005038082
2017/2/8,0.003463,0.006780235,0.000654,0.010543943,0.000330,0.008596661,0.000715,0.004890542
2017/2/9,0.003463,0.006711056,0.000654,0.010478893,0.000330,0.008360049,0.000715,0.004658558
2017/2/10,0.003463,0.006688068,0.000654,0.010251507,0.000330,0.00823013,0.000715,0.004410599
2017/2/13,0.003463,0.006608467,0.000654,0.009787613,0.000330,0.008023901,0.000715,0.004186116
2017/2/14,0.003463,0.006661757,0.000654,0.009803949,0.000330,0.007836162,0.000715,0.00397047
2017/2/15,0.003463,0.006386516,0.000654,0.009448901,0.000330,0.00773137,0.000715,0.003773059
2017/2/16,0.003463,0.006274785,0.000654,0.00970467,0.000330,0.007559306,0.000715,0.003584837
2017/2/17,0.003463,0.00627174,0.000654,0.009694954,0.000330,0.007763665,0.000715,0.003641447
2017/2/20,0.003463,0.0067581,0.000654,0.009727693,0.000330,0.007696795,0.000715,0.003474847
2017/2/21,0.003463,0.007168573,0.000654,0.010075423,0.000330,0.007561251,0.000715,0.003432613
2017/2/22,0.003463,0.007046503,0.000654,0.009989133,0.000330,0.007759483,0.000715,0.003262842
2017/2/23,0.003463,0.006822969,0.000654,0.009741057,0.000330,0.007773393,0.000715,0.003376994
2017/2/24,0.003463,0.006816395,0.000654,0.009456918,0.000330,0.007890732,0.000715,0.00328708
2017/2/27,0.003463,0.006515242,0.000654,0.009077578,0.000330,0.007962331,0.000715,0.003143087
2017/2/28,0.003463,0.006910812,0.000654,0.009399655,0.000330,0.007925512,0.000715,0.003009348
2017/3/1,0.003463,0.006801306,0.000654,0.009190423,0.000330,0.008069922,0.000715,0.003472814
2017/3/2,0.003463,0.006543531,0.000654,0.008860506,0.000330,0.008065314,0.000715,0.003273091
2017/3/3,0.003463,0.006728872,0.000654,0.008843302,0.000330,0.007895948,0.000715,0.004252222
2017/3/6,0.003463,0.006768029,0.000654,0.008565173,0.000330,0.008023,0.000715,0.004125534
2017/3/7,0.003463,0.006718572,0.000654,0.008916001,0.000330,0.008008544,0.000715,0.004649056
2017/3/8,0.003463,0.006531564,0.000654,0.008622171,0.000330,0.007818614,0.000715,0.005095734
2017/3/9,0.003463,0.006333296,0.000654,0.008640827,0.000330,0.007665916,0.000715,0.005393996
2017/3/10,0.003463,0.006713525,0.000654,0.0088714,0.000330,0.00825209,0.000715,0.005136283
2017/3/13,0.003463,0.006555062,0.000654,0.008629754,0.000330,0.008459218,0.000715,0.004865027
2017/3/14,0.003463,0.006694317,0.000654,0.008834844,0.000330,0.008243017,0.000715,0.004655227
2017/3/15,0.003463,0.006390315,0.000654,0.008677388,0.000330,0.008305023,0.000715,0.005142188
2017/3/16,0.003463,0.006104537,0.000654,0.008315863,0.000330,0.008103662,0.000715,0.004852514
2017/3/17,0.003463,0.006318623,0.000654,0.008387155,0.000330,0.007911621,0.000715,0.00493567
2017/3/20,0.003463,0.006903624,0.000654,0.008861072,0.000330,0.008705302,0.000715,0.005039292
2017/3/21,0.003463,0.006800964,0.000654,0.008545793,0.000330,0.008460459,0.000715,0.005269878
2017/3/22,0.003463,0.006651198,0.000654,0.008419771,0.000330,0.008364969,0.000715,0.007693325
2017/3/23,0.003463,0.006814661,0.000654,0.008309233,0.000330,0.008762154,0.000715,0.007243914
2017/3/24,0.003463,0.006523632,0.000654,0.008066225,0.000330,0.008865264,0.000715,0.007134869
2017/3/27,0.003463,0.006587333,0.000654,0.008047045,0.000330,0.008607008,0.000715,0.007004486
2017/3/28,0.003463,0.006406447,0.000654,0.008212783,0.000330,0.00859735,0.000715,0.006912674
2017/3/29,0.003463,0.006521748,0.000654,0.008005743,0.000330,0.008499748,0.000715,0.006499834
2017/3/30,0.003463,0.006568096,0.000654,0.008018788,0.000330,0.008346918,0.000715,0.006138202
2017/3/31,0.003463,0.007123444,0.000654,0.008986156,0.000330,0.008210192,0.000715,0.005797029
2017/4/5,0.003463,0.006996917,0.000654,0.009031921,0.000330,0.008365439,0.000715,0.005965085
