Date,SH,SZ,HK,USA
2006-06-08,0.001223621,-0.004895339,-0.023168137,0.001417028
2006-06-09,-0.025200284,-0.015885795,0.011558494,-0.004475607
2006-06-12,0.000911444,0.00207279,-0.00046389,-0.012696638
2006-06-13,-0.002771127,-0.003485077,-0.024774925,-0.010279845
2006-06-14,-0.011086894,-0.016500768,0.000886151,0.005189223
2006-06-15,0.001732484,0.001482954,0.012274461,0.021235082
2006-06-16,0.026393434,0.028824201,0.026405435,-0.003677875
2006-06-19,0.007506667,0.011774136,-0.00465768,-0.009108778
2006-06-20,0.003811419,0.001498021,-0.010139604,-1.61E-05
2006-06-21,0.003632408,-0.00752486,0.003228272,0.009740993
2006-06-22,-0.00128276,-0.002721687,0.01068626,-0.005270724
2006-06-23,0.006042983,0.01019831,-0.001130368,-0.000883109
2006-06-26,0.017274591,0.022050771,-0.000253023,0.004869425
2006-06-27,0.003735654,0.000971121,-0.001905116,-0.00908393
2006-06-28,-0.00016163,-0.00318369,-0.0020311,0.005487411
2006-06-29,0.019723221,0.025851362,0.007785215,0.021565008
2006-06-30,0.000354746,4.95E-05,0.025363657,-0.002097622
2006-07-03,0.014992725,0.022484591,0.003629295,0.007864903
2006-07-04,-0.009270705,-0.012006926,0.002592079,0
2006-07-05,0.022008305,-0.012496413,-0.00621908,-0.007248924
2006-07-06,0.013333876,0.013326613,0.010684704,0.002494276
2006-07-07,-0.006477286,-0.005888074,0.001142875,-0.006749969
2006-07-10,0.002392223,0.00309819,0.008750421,0.001469798
2006-07-11,0.006617545,-0.002939874,-0.006846621,0.004087301
2006-07-12,-0.003325685,0.006317578,0.001945406,-0.010938924
2006-07-13,-0.048406322,-0.046370259,-0.013117495,-0.012958843
2006-07-14,0.005698245,0.009263066,-0.010411837,-0.004902237
2006-07-17,0.010616692,0.009937454,-0.004393361,-0.001383271
2006-07-18,0.000811106,0.001417321,-0.001299734,0.001919821
2006-07-19,-0.023210303,-0.029617969,0.003340825,0.018555051
2006-07-20,0.006055338,0.006380329,0.023300455,-0.008477469
2006-07-21,0.006166313,0.010420021,-0.000512365,-0.007076926
2006-07-24,0.000369897,0.00102872,0.000996709,0.016625144
2006-07-25,0.01171528,0.009217411,0.006266159,0.006320832
2006-07-26,0.000707818,-0.005342934,0.0020128,-0.000378286
2006-07-27,-0.006809933,-0.016519018,0.018025256,-0.004099653
2006-07-28,-0.007842199,-0.011934392,0.002262252,0.012151678
2006-07-31,-0.0296613,-0.032770225,0.000961366,-0.001478237
2006-08-01,-0.007514573,-0.006927712,-0.003533604,-0.004496107
2006-08-02,0.000161188,-0.006929861,0.00717742,0.006003525
2006-08-03,0.000116187,-0.002375657,0.000919992,0.001345274
2006-08-04,-0.019304735,-0.016138702,-0.009421401,-0.000710788
2006-08-07,-0.014466134,-0.010496061,0.003893343,-0.002806091
2006-08-08,0.021416718,0.023362989,0.005582902,-0.003362675
2006-08-09,-0.00127232,-0.004129292,0.017502141,-0.004349262
2006-08-10,0.017420241,0.013683035,-0.007173748,0.004628935
2006-08-11,-8.65E-05,0.001079519,0.001614782,-0.003986445
2006-08-14,-0.021911346,-0.014300988,0.002322326,0.001160459
2006-08-15,0.015864517,0.015172762,-0.00092192,0.01369647
2006-08-16,0.013005928,0.015461809,0.010244256,0.007661911
2006-08-17,-0.008090769,-0.008336123,-0.004468504,0.001582486
2006-08-18,-0.003314348,-0.003889234,-0.002437684,0.003714893
2006-08-21,0.001959928,0.002012348,-0.018627061,-0.003670429
2006-08-22,0.007622646,0.011628954,0.008341428,0.001001911
2006-08-23,-0.000594414,-0.000546017,-0.003577895,-0.00448869
2006-08-24,0.006587092,0.000406718,-0.012016931,0.002374342
2006-08-25,1.05E-05,0.005080028,0.00428892,-0.000748422
2006-08-28,0.016884428,0.029225437,-0.001955713,0.005165664
2006-08-29,0.000355057,0.006264378,0.009513488,0.001920447
2006-08-30,0.002526311,0.004205887,0.011791061,-7.67E-06
2006-08-31,0.002080117,0.005117663,0.006222841,-0.000345021
2006-09-01,-0.013231941,-0.011985386,0.001808275,0.005514565
2006-09-04,0.012726287,0.012763657,0.005174555,0
2006-09-05,0.003956513,-0.003729327,-0.004286886,0.001708606
2006-09-06,0.004833307,0.001278488,-0.010338441,-0.009891491
2006-09-07,-0.006537206,-0.01249789,-0.00939073,-0.00479904
2006-09-08,0.004089839,-0.001947049,0.002884811,0.003786649
2006-09-11,0.004185891,0.005987789,-0.011499636,0.00047732
2006-09-12,0.012475477,0.004260758,0.007482038,0.010442156
2006-09-13,-0.003816938,-0.008517626,0.007885028,0.003777292
2006-09-14,0.000179355,-0.003792473,-0.001545028,-0.001358046
2006-09-15,0.018555453,0.019862628,0.003154198,0.002727383
2006-09-18,0.006938808,0.013031582,0.008676357,0.000992522
2006-09-19,0.001300644,-0.00341011,-0.002329874,-0.002172301
2006-09-20,-0.001606693,0.005665241,0.009584532,0.005211217
2006-09-21,0.004876323,0.008228109,0.006110332,-0.005395493
2006-09-22,-0.008926412,-0.002982926,-0.001096483,-0.002465801
2006-09-25,-0.001735869,0.000477759,-0.003102726,0.008815163
2006-09-26,-0.005648625,-0.014355899,-0.013562035,0.007516756
2006-09-27,0.007241464,0.00743378,0.012331235,0.000187078
2006-09-28,0.006912307,0.010944508,0.000517079,0.001915322
2006-09-29,0.008901168,0.008956315,0.000711899,-0.00246425
2006-10-09,0.018808804,0.01870953,0.007535178,0.011086574
2006-10-10,-0.000292934,-0.005712917,0.00839932,0.002043445
2006-10-11,0.002936922,-0.001588801,0.002193147,-0.002563875
2006-10-12,-0.006660507,-0.006130377,0.000576618,0.009541094
2006-10-13,0.003641362,0.007309665,0.006477335,0.002047211
2006-10-16,-0.007484356,-0.010968027,0.00118629,0.00251168
2006-10-17,-0.004176596,0.0025768,0.000257632,-0.003652168
2006-10-18,0.013200287,0.021770305,0.001845701,0.001400242
2006-10-19,0.002835744,-1.69E-05,-0.003386508,0.000732086
2006-10-20,-0.001053981,0.002317403,0.007037316,0.001199742
2006-10-23,-0.017298158,-0.020692863,-0.001308413,0.006152272
2006-10-24,0.026024302,0.022104077,0.003513573,0.000261434
2006-10-25,0.000811553,0.014076451,0.00024954,0.003513918
2006-10-26,0.002214047,0.015330329,0.010783162,0.00496303
2006-10-27,-0.001916995,-0.005706732,-0.003061501,-0.008451637
2006-10-30,0.001372861,0.000407378,0,0.000428362
2006-10-31,0.015658777,0.013529216,0.001464677,7.26E-06
2006-11-01,0.009640951,0.004585268,0.007056185,-0.007351554
2006-11-02,-0.002370517,0.003007213,0.014150588,-0.000343615
2006-11-03,0.008128281,0.007150538,0.001865371,-0.002223295
2006-11-06,0.010686566,0.020240349,0.009966031,0.011346478
2006-11-07,0.00170863,0.009387573,0.00014575,0.002217745
2006-11-08,-0.01202045,-0.010784441,-0.006762126,0.00208267
2006-11-09,0.015890685,0.019130844,0.007528478,-0.005332968
2006-11-10,-0.006925982,-0.018889394,-0.003256501,0.001864575
2006-11-13,-0.010397447,-0.023908522,-0.001196328,0.002549062
2006-11-14,0.013131484,0.013277863,0.000523623,0.006356453
2006-11-15,0.018374793,0.044809866,0.011366417,0.002404502
2006-11-16,0.009678954,0.001733825,0.003198554,0.002284168
2006-11-17,0.015578299,0.024646243,0.001495244,0.001028748
2006-11-20,0.023068344,0.021796491,-0.011889874,-0.000499572
2006-11-21,0.010049676,0.011805985,0.002831498,0.001649411
2006-11-22,0.001866455,0.007171273,0.012757059,0.002338164
2006-11-23,0.010291204,0.002986733,0.000754774,0
2006-11-24,-0.005600857,0.00087918,-0.000260572,-0.003655527
2006-11-27,-0.001723707,0.016412621,-0.002922592,-0.013597916
2006-11-28,-0.00417921,-0.004089137,-0.029393861,0.003487951
2006-11-29,0.00753904,0.017811621,0.007586028,0.009201569
2006-11-30,0.022003894,0.038384531,0.009560229,0.000821734
2006-12-01,0.001314731,0.014305289,-0.014222214,-0.002798741
2006-12-04,0.028352812,0.022185735,0.000637211,0.008885166
2006-12-05,0.005383393,0.008925064,0.012910415,0.004002498
2006-12-06,-0.007675477,-0.015101987,0.004337478,-0.001314711
2006-12-07,6.77E-05,-0.004622418,-0.009637682,-0.003970557
2006-12-08,-0.029262548,-0.029258636,-0.005466224,0.001811993
2006-12-11,0.041486637,0.054917523,0.009854328,0.002269761
2006-12-12,0.017635896,0.005351105,-0.000924191,-0.001047387
2006-12-13,0.002029788,-0.001783177,-0.00999515,0.001168919
2006-12-14,0.011538349,0.012022662,0.010749437,0.008689438
2006-12-15,0.011025695,0.020550352,0.010108672,0.001122421
2006-12-18,0.025738069,0.036449775,0.004304406,-0.00323035
2006-12-19,0.013609388,-0.00378285,-0.011898144,0.002158203
2006-12-20,0.003818665,0.011037121,0.014530796,-0.001416997
2006-12-21,-0.012753639,-0.016347229,-0.000898123,-0.003673965
2006-12-22,0.000311575,-0.014524548,0.005081455,-0.005316224
2006-12-25,0.039294815,0.022496977,0,0
2006-12-26,0.018051846,-0.004094255,0,0.004352264
2006-12-27,0.022847227,0.020957859,0.020973038,0.007015315
2006-12-28,0.012303722,-0.008228285,0.014001003,-0.001478792
2006-12-29,0.042015989,0.032759561,-0.001859322,-0.004513136
2007-01-04,0.015042194,0.008755947,0.003048377,2.82E-05
2007-01-05,-0.027390536,0.000133923,0.00927314,-0.006084578
2007-01-08,0.024936263,0.024494057,-0.008986071,0.002220315
2007-01-09,0.037162026,0.030287743,-0.006569258,-0.00051669
2007-01-10,0.006329502,0.03777883,-0.016571448,0.001940359
2007-01-11,-0.01962998,-0.007681035,-0.009350308,0.006339895
2007-01-12,-0.036821642,-0.014070064,0.01176351,0.004853142
2007-01-15,0.047445945,0.062532689,0.023206062,0
2007-01-16,0.009416392,0.047985261,-0.002023563,0.000817764
2007-01-17,-0.014929722,-0.028394382,0.001828445,-0.000893917
2007-01-18,-0.007886934,0.00195765,0.010612737,-0.00297074
2007-01-19,0.027284898,0.035225715,0.002476142,0.002895462
2007-01-22,0.035655233,0.034439346,0.021866692,-0.005277875
2007-01-23,0.005439129,-0.003812983,-0.000121316,0.003541938
2007-01-24,0.008811031,0.006655548,0.002472352,0.00850146
2007-01-25,-0.039582821,-0.042230886,-0.007262842,-0.011269816
2007-01-26,0.008816864,0.026213085,-0.018805186,-0.00120795
2007-01-29,0.021753248,0.016622398,-0.002191692,-0.001096908
2007-01-30,-0.004991405,-0.011681589,0.011058138,0.005772128
2007-01-31,-0.049214792,-0.07617665,-0.017303619,0.006592853
2007-02-01,-0.000324082,0.008870241,0.016101325,0.005353766
