Date,VaR1D,VaR2D,VaR3D,VaR4D,VaR1U,VaR2U,VaR3U,VaR4U,CoVaR1DL,CoVaR1DR,CoVaR1UL,CoVaR1UR,CoVaR2DL,CoVaR2DR,CoVaR2UL,CoVaR2UR,CoVaR3DL,CoVaR3DR,CoVaR3UL,CoVaR3UR,CoVaR4DL,CoVaR4DR,CoVaR4UL,CoVaR4UR,CoVaR5DL,CoVaR5DR,CoVaR5UL,CoVaR5UR,CoVaR6DL,CoVaR6DR,CoVaR6UL,CoVaR6UR
2006/1/20,-0.026522003,-0.02978013,-0.018679582,-0.017394379,0.033448003,0.03108813,0.01876223,0.018824379,-0.060443097,-0.07151904,0.061746548,0.078435751,-0.035777581,-0.062582795,0.034871002,0.069590046,-0.019195809,-0.029499714,0.028763798,0.049865588,-0.033466935,-0.052323984,0.032671736,0.053631984,-0.021078584,-0.035216052,0.028257404,0.044067882,-0.021236443,-0.02236102,0.022666443,0.022227925
2006/1/23,-0.025095271,-0.028548271,-0.018371968,-0.023891489,0.032021271,0.029856271,0.018463958,0.025321489,-0.057970117,-0.06795128,0.059273751,0.074868433,-0.035193286,-0.059440235,0.034312058,0.066443621,-0.026339218,-0.027931298,0.038826878,0.047657682,-0.032920032,-0.050179635,0.03214838,0.051487635,-0.028897477,-0.033764167,0.038138804,0.042310652,-0.029111972,-0.021993833,0.030541972,0.021873572
2006/1/24,-0.024176994,-0.02709534,-0.018660793,-0.022269831,0.031102994,0.02840334,0.018744012,0.023699831,-0.05505333,-0.06565499,0.056357182,0.072572427,-0.035741893,-0.057417613,0.034836863,0.06441851,-0.024556246,-0.02692183,0.036315165,0.046236624,-0.033433531,-0.047650456,0.03263977,0.048958456,-0.026945906,-0.032051724,0.035672438,0.040238065,-0.027146265,-0.022338593,0.028576265,0.022206282
2006/1/25,-0.023860904,-0.027034782,-0.018549541,-0.020771449,0.030786904,0.028342782,0.018636139,0.022201449,-0.054931759,-0.064864558,0.05623562,0.071782094,-0.035530576,-0.056721384,0.034634714,0.063721425,-0.022908813,-0.02657435,0.03399439,0.045747466,-0.033235737,-0.047545041,0.032450492,0.048853041,-0.025142691,-0.03198035,0.033393562,0.04015168,-0.025329988,-0.022205796,0.026759988,0.022078126
2006/2/6,-0.022636445,-0.026916405,-0.017888697,-0.020208124,0.029562445,0.028224405,0.017995366,0.021638124,-0.054694116,-0.061802615,0.055997995,0.068720529,-0.034275342,-0.054024358,0.033433941,0.061021081,-0.022289451,-0.025228295,0.033121881,0.043852584,-0.03206083,-0.047338977,0.031326173,0.048646977,-0.024464763,-0.03184083,0.032536806,0.039982818,-0.024647149,-0.021416971,0.026077149,0.021316873
2006/2/7,-0.023973042,-0.029273882,-0.017228347,-0.019081651,0.030899042,0.030581882,0.017355072,0.020511651,-0.059426795,-0.065144978,0.060730321,0.072062479,-0.033021046,-0.056968384,0.032234064,0.063968728,-0.021050922,-0.026697625,0.031377138,0.045921004,-0.030886801,-0.051442737,0.030202695,0.052750737,-0.023109118,-0.034619382,0.030823562,0.043345727,-0.023281684,-0.020628737,0.024711684,0.020556188
2006/2/8,-0.023918071,-0.027926225,-0.016648659,-0.021051312,0.030844071,0.029234225,0.016792989,0.022481312,-0.056721348,-0.065007515,0.058025076,0.071925033,-0.031919962,-0.056847304,0.031180753,0.063847499,-0.023216514,-0.026637195,0.034427856,0.045835935,-0.029856179,-0.049096813,0.029216448,0.050404813,-0.025479489,-0.033031016,0.033819202,0.041423312,-0.025669226,-0.019936785,0.027099226,0.019888421
2006/2/9,-0.022856435,-0.027266244,-0.01668964,-0.019608453,0.029782435,0.028574244,0.016832726,0.021038453,-0.055396424,-0.062352732,0.056700251,0.069270579,-0.031997804,-0.054508914,0.031255217,0.061506232,-0.021630127,-0.025470131,0.032193077,0.044193024,-0.029929039,-0.047947957,0.029286171,0.049255957,-0.023743093,-0.032253155,0.03162477,0.040481858,-0.023920252,-0.019985702,0.025350252,0.019935629
2006/2/10,-0.024921556,-0.028729777,-0.016477639,-0.018955949,0.031847556,0.030037777,0.016627163,0.020385949,-0.058334494,-0.06751688,0.059638102,0.074434087,-0.03159512,-0.059057606,0.030870003,0.066060521,-0.020912715,-0.027740332,0.031182443,0.047388854,-0.029552124,-0.050495591,0.028925485,0.051803591,-0.022957842,-0.033978093,0.030632382,0.042569568,-0.023129313,-0.019732644,0.024559313,0.019691416
2006/2/13,-0.024361934,-0.029105863,-0.015922468,-0.017724619,0.031287934,0.030413863,0.016088854,0.019154619,-0.059089493,-0.06611746,0.060393045,0.07303484,-0.030540606,-0.057824967,0.029861242,0.064826365,-0.019558899,-0.027125136,0.029275291,0.046522823,-0.028565093,-0.051150259,0.027980952,0.052458259,-0.021476008,-0.034421352,0.028759662,0.04310605,-0.021636745,-0.019069958,0.023066745,0.019051892
